단어,발음,주요뜻,메모,암기여부,저장날짜
Please make a theft report.,,도난 신고서를 작성해 주십시오.,,미암기,2012-06-16 22:41:46
Can I have them reissued?,,그것들을 다시 발행받을 수 있습니까?,,미암기,2012-06-16 22:41:46
Where is the lost -and-found?,,분실물 보관소는 어디입니까?,,미암기,2012-06-16 22:41:46
Please write your address here.,,여기에 당신의 주소를 적어주십시오.,,미암기,2012-06-16 22:41:46
May I use a flash?,,플래시를 사용해도 됩니까?,,미암기,2012-06-16 22:41:46
May I take pictures here?,,여기서 사진 찍어도 괜찮습니까?,,미암기,2012-06-16 22:41:46
Which program is the most instructive?,,어떤 프로그램이 가장 유익합니까?,,미암기,2012-06-16 22:41:46
Are there any good movies on TV?,,TV에서 좋은 영화를 합니까?,,미암기,2012-06-16 22:41:46
How soon does the show begin?,,얼마나 빨리 쇼는 시작합니까?,,미암기,2012-06-16 22:41:46
What time will the show be over?,,쇼는 몇 시에 끝납니까?,,미암기,2012-06-16 22:41:46
"Will you take me to my seat, please?",,제 좌석으로 데려다 주시겠습니까?,,미암기,2012-06-16 22:41:46
When does the movie start?,,영화는 언제 시작합니까?,,미암기,2012-06-16 22:41:46
Who are your favorite movie stars?,,당신이 좋아하는 영화배우는 누구입니까?,,미암기,2012-06-16 22:41:46
Let's go to the movie tonight.,,오늘밤에 영화 보러 갑시다.,,미암기,2012-06-16 22:41:46
"Stop here, please.",,여기서 멈춰 주십시오.,,미암기,2012-06-16 22:41:46
"Let me off here, please.",,여기서 내려 주십시오.,,미암기,2012-06-16 22:41:46
I get off at the next stop.,,나는 다음 정거장에서 내립니다.,,미암기,2012-06-16 22:41:46
"Wait here for a moment, please.",,여기서 잠시 기다려 주십시오.,,미암기,2012-06-16 22:41:46
Is it close enough to walk?,,걸을 만큼 가깝습니까?,,미암기,2012-06-16 22:41:46
It's not so far.,,그렇게 멀지 않습니다.,,미암기,2012-06-16 22:41:46
It's a short walk.,,가깝네요.,,미암기,2012-06-16 22:41:46
Please draw a map here.,,여기에 지도를 그려 주십시오.,,미암기,2012-06-16 22:41:46
Please point out where I am on this map.,,지도상에 제가 어디에 있는지 알려 주십시오.,,미암기,2012-06-16 22:41:46
Will you show me the way to the post office?,,우체국 가는 길을 알려 주시겠습니까?,,미암기,2012-06-16 22:41:46
Is the hotel far from here?,,그 호텔은 여기서 멉니까?,,미암기,2012-06-16 22:41:46
Would you tell me how to get to this hotel?,,어떻게 이 호텔에 도착하는지 말해 줄 수 있습니까?,,미암기,2012-06-16 22:41:46
What's the name of this street?,,이 거리의 이름은 무엇입니까?,,미암기,2012-06-16 22:41:46
Excuse me. How can I get to this place?,,실례합니다. 이곳에 어떻게 갑니까?,,미암기,2012-06-16 22:41:46
I want a Chinese-speaking guide.,,저는 중국어 하는 가이드를 원합니다.,,미암기,2012-06-16 22:41:46
Can anyone here speak English?,,여기 있는 누군가 영어를 할 수 있습니까?,,미암기,2012-06-16 22:41:46
Will there be an opportunity to take some photographs?,,사진 좀 찍을 기회가 있습니까?,,미암기,2012-06-16 22:41:46
Is it too far to walk?,,걷기에는 너무 멉니까?,,미암기,2012-06-16 22:41:46
How much is the admission?,,입장료는 얼마입니까?,,미암기,2012-06-16 22:41:46
When and where can we meet?,,우리는 언제 어디서 만날 수 있습니까?,,미암기,2012-06-16 22:41:46
What time does the film start?,,영화는 몇 시에 시작합니까?,,미암기,2012-06-16 22:41:46
Where can I buy a map of this town?,,이 마을의 지도를 어디에서 살 수 있습니까?,,미암기,2012-06-16 22:41:46
What time does it start?,,그것은 몇 시에 시작합니까?,,미암기,2012-06-16 22:41:46
Is there a public rest room near here?,,이 근처에 공중 화장실이 있습니까?,,미암기,2012-06-16 22:41:46
Where is the taxi stand?,,택시 정류장은 어디에 있습니까?,,미암기,2012-06-16 22:41:46
Where is the nearest subway station?,,가장 가까운 지하철역은 어디에 있습니까?,,미암기,2012-06-16 22:41:46
I'll get the tickets.,,티켓은 제가 준비하겠습니다.,,미암기,2012-06-16 22:41:46
Would you like to go to the opera with me?,,저와 함께 오페라 보러 가시겠습니까?,,미암기,2012-06-16 22:41:46
Shall we find a nice place to go?,,우리가 볼만한 장소를 찾아볼까요?,,미암기,2012-06-16 22:41:46
Would you please tell me what museums are here?,,여기에 어떤 박물관이 있는지 말씀해 주시겠습니까?,,미암기,2012-06-16 22:09:15
Can you recommend an interesting tour?,,흥미 있는 투어를 추천해 줄 수 있습니까?,,미암기,2012-06-16 22:09:15
Would you please arrange the trip for me?,,저를 위해서 여행을 계획해 주시겠습니까?,,미암기,2012-06-16 22:09:15
Which is the best route?,,어느 쪽이 최적의 항로입니까?,,미암기,2012-06-16 22:09:15
I would like to go somewhere to relax.,,나는 휴식차 어디론가 가고 싶습니다.,,미암기,2012-06-16 22:09:15
I prefer to go by bus.,,나는 버스로 가길 원합니다.,,미암기,2012-06-16 22:09:15
How long do you intend to stay in Paris?,,당신은 파리에 얼마나 오래 머무를 예정입니까?,,미암기,2012-06-16 22:09:15
I plan to go to Mexico.,,나는 멕시코로 갈 계획입니다.,,미암기,2012-06-16 22:09:15
Isn't there a mistake in the bill?,,계산서에 잘못된 것이 있지 않습니까?,,미암기,2012-06-16 22:09:15
This is broken.,,이것은 고장났습니다.,,미암기,2012-06-16 22:09:15
Here's my receipt.,,영수증 여기 있습니다.,,미암기,2012-06-16 22:09:15
I'd like to return this.,,이것을 반품하고 싶습니다.,,미암기,2012-06-16 22:09:15
I already paid.,,나는 이미 지불했습니다.,,미암기,2012-06-16 22:09:15
"Can you give me a receipt, please?",,영수증을 주실 수 있습니까?,,미암기,2012-06-16 22:09:15
You gave me the wrong change.,,당신은 저에게 거스름돈을 잘못 주었습니다.,,미암기,2012-06-16 22:09:15
Can I buy it on installment?,,그것을 할부로 살 수 있습니까?,,미암기,2012-06-16 22:09:15
The price is higher than what I had in mind.,,제가 생각했던 것보다 가격이 비쌉니다.,,미암기,2012-06-16 22:09:15
The price is not reasonable.,,가격이 적당하지 않습니다.,,미암기,2012-06-16 22:09:15
This is more than I can pay.,,이것은 제가 지불할 수 있는 가격 이상입니다.,,미암기,2012-06-16 22:09:15
Where do I pay?,,어디서 계산합니까?,,미암기,2012-06-16 22:09:15
May I see a wristwatch that shows the date?,,날짜를 보여주는 손목시계를 볼 수 있습니까?,,미암기,2012-06-16 22:09:15
Would you please change the battery in my watch?,,제 시계의 전지를 교체해 주시겠습니가?,,미암기,2012-06-16 22:09:15
I would prefer on-e in 18 carat gold.,,저는 18캐럿 금으로 된 것을 선호합니다.,,미암기,2012-06-16 22:09:15
I would like to see a lady's ring.,,여성용 반지를 보고 싶습니다.,,미암기,2012-06-16 22:09:15
I would like to see a gold necklace.,,금목걸이를 보고 싶습니다.,,미암기,2012-06-16 22:09:15
My watch needs adjusting.,,제 시계는 조정해야 합니다.,,미암기,2012-06-16 22:09:15
Would you please wrap it?,,그것을 포장해 주시겠습니까?,,미암기,2012-06-16 22:09:15
Would it be possible for me to have it in a gift box?,,그것을 포장 박스에 넣어 주실 수 있습니까?,,미암기,2012-06-16 22:09:15
Would you show me some white china?,,백색 도자기 좀 보여 주시겠습니까?,,미암기,2012-06-16 22:09:15
Are these grapes sweet?,,이 포도들은 답니까?,,미암기,2012-06-16 22:09:15
"Would you give me a light, please?",,불 좀 빌릴 수 있습니까?,,미암기,2012-06-16 22:09:15
I would like a packet of cigarettes.,,담배 한 갑을 원합니다.,,미암기,2012-06-16 22:09:15
Do you have any dolls that walk and talk?,,걷고 말하는 인형이 있습니까?,,미암기,2012-06-16 22:09:15
What can we give a sick little boy?,,우리는 병든 어린 소년에게 무엇을 줄 수 있습니까?,,미암기,2012-06-16 22:09:15
Do you have an entertaining game for a child?,,어린이를 위한 재미있는 게임이 있습니가?,,미암기,2012-06-16 22:09:15
I would like to see some electrical toys.,,전기로 동작하는 장난감을 보고 싶습니다.,,미암기,2012-06-16 22:09:15
Please give me a Chinese newspaper.,,중국 신문 한 부 주십시오.,,미암기,2012-06-16 22:09:15
I would like  to have a mystery novel in Chinese.,,중국어로 쓰인 추리소설을 원합니다.,,미암기,2012-06-16 22:09:15
Do you have an entertaining book in English?,,영어로 된 재미있는 책 있습니까?,,미암기,2012-06-16 22:09:15
I would like to have a picture-book for a seven-year-old girl.,,7살 짜리 소녀가 볼 수 있는 그림책을 원합니다.,,미암기,2012-06-16 22:09:15
May I browse?,,구경해도 괜찮겠습니까?,,미암기,2012-06-16 22:09:15
Do you buy old coins?,,오래된 동전을 삽니까?,,미암기,2012-06-16 22:09:15
Are these crystals?,,이것들은 크리스털입니까?,,미암기,2012-06-16 22:09:15
I'm looking for a painting by a well-known French artist.,,나는 잘 알려진 프랑스 화가가 그린 그림을 찾고 있습니다.,,미암기,2012-06-16 22:09:15
I'm interested in Oriental art.,,나는 동양 예술에 관심이 있습니다.,,미암기,2012-06-16 22:09:15
Do you have stamps?,,우표 있습니까?,,미암기,2012-06-16 22:09:15
What's in that chocolate?,,저 초콜렛에는 무엇이 들어 있습니까?,,미암기,2012-06-16 22:09:15
How much chocolate can I take out of the country?,,외국으로 얼마나 많은 초콜릿을 가져갈 수 있습니까?,,미암기,2012-06-16 22:09:15
Can you repair this while I wait?,,제가 기다리는 동안 이것을 고칠 수 있습니까?,,미암기,2012-06-16 22:09:15
Do you think you can repair it?,,당신은 그것을 고칠 수 있다고 생각하십니까?,,미암기,2012-06-16 22:09:15
I prefer a simpler style.,,나는 더 단순한 스타일을 원합니다.,,미암기,2012-06-16 21:32:19
When will they be ready?,,그들은 언제 준비됩니까?,,미암기,2012-06-16 21:32:19
Will you show me how to operate it?,,그것을 어떻게 작동시키는지 보여 주시겠습니까?,,미암기,2012-06-16 21:32:19
Will you forward my purchases to my home address?,,저의 집 주소로 구입 물품을 발송해 주시겠습니까?,,미암기,2012-06-16 21:32:19
Do you have batteries for hearing aids?,,보청기용 배터리가 있습니까?,,미암기,2012-06-16 21:32:19
Do you have hearing aids?,,보청기 있습니까?,,미암기,2012-06-16 21:32:19
I would like these photographs enlarged.,,이 사진들을 확대하고 싶습니다.,,미암기,2012-06-16 21:32:19
I would like three prints of each.,,각각 세장씩 뽑고 싶습니다.,,미암기,2012-06-16 21:32:19
I would like color film.,,칼라 필름으로 하고 싶습니다.,,미암기,2012-06-16 21:32:19
Would you please put film in my camera?,,제 카메라에 필름을 넣어 주시겠습니까?,,미암기,2012-06-16 21:32:19
I would like film for an 8 millimeter movie camera.,,8mm 무비 카메라용 필름을 원합니다.,,미암기,2012-06-16 21:32:19
I would like to see a camera.,,카메라를 보고 싶습니다.,,미암기,2012-06-16 21:32:19
What material is it made of?,,그것은 어떤 재료로 만든 것입니까?,,미암기,2012-06-16 21:32:19
Please show me another on-e.,,다른 것을 보여 주십시오.,,미암기,2012-06-16 21:32:19
I would like something for skin irritation.,,따끔한 피부에 무언가 바르고 싶습니다.,,미암기,2012-06-16 21:32:19
Can you recommend something for irritated eyes?,,따끔한 눈에 무엇인가 추천해 줄 수 있습니까?,,미암기,2012-06-16 21:32:19
These glasses are too weak for me.,,이 안경들은 도수가 너무 낮습니다.,,미암기,2012-06-16 21:32:19
I would like to try some stronger glasses.,,도수가 높은 다른 안경들을 써보고 싶습니다.,,미암기,2012-06-16 21:32:19
I'd like a leather wallet.,,가죽 지갑으로 하고 싶습니다.,,미암기,2012-06-16 21:32:19
Is this genuine leather?,,이것은 진짜 가죽입니까?,,미암기,2012-06-16 21:32:19
I would like a silk scarf to math this blouse.,,이 블라우스와 어울리는 실크 스카프로 하고 싶습니다.,,미암기,2012-06-16 21:32:19
Do you have it in different colors?,,다른 색으로 된 것 있습니까?,,미암기,2012-06-16 21:32:19
I'm afraid this tie is too plain.,,이 넥타이는 너무 평범한 것 같습니다.,,미암기,2012-06-16 21:32:19
Could you show me a selection of silk ties?,,실크 넥타이 상품들을 보여 주실 수 있습니까?,,미암기,2012-06-16 21:32:19
Can the clothes be finished before next Friday?,,다음주 금요일 전에 옷이 마무리 될 수 있습니까?,,미암기,2012-06-16 21:32:19
It's too tight here.,,여기가 너무 꼭 낍니다.,,미암기,2012-06-16 20:10:49
Do you have a pattern for a men's jumper?,,남성 점퍼용 패턴이 있습니까?,,미암기,2012-06-16 20:10:49
I would like to have a pleat in the front.,,앞쪽에 주름을 잡고 싶습니다.,,미암기,2012-06-16 20:10:49
Do you have a jacket to match these trousers?,,이 바지들과 어울리는 재킷 있습니까?,,미암기,2012-06-16 20:10:49
I wish to look at a cotton nightdress.,,면으로 된 잠옷을 보고 싶습니다.,,미암기,2012-06-16 20:10:49
I would like to have a custom-made skirt.,,맞춤 스커트로 하고 싶습니다.,,미암기,2012-06-16 20:10:49
I would like a custom-made suit.,,맞춤 슈트로 하고 싶습니다.,,미암기,2012-06-16 20:10:49
Can you measure me?,,치수를 재주실 수 있습니까?,,미암기,2012-06-16 20:10:49
I would like to try on-e of these dresses on.,,이 드레스들 중 하나를 입어 보고 싶습니다.,,미암기,2012-06-16 20:10:49
I'd like to try this on.,,이것을 입어 보고 싶습니다.,,미암기,2012-06-16 20:10:49
Will you guarantee the repairs?,,수리[A/S]를 보증합니까?,,미암기,2012-06-16 20:10:49
How long will it take to repair?,,수리하는데 얼마나 걸립니까?,,미암기,2012-06-16 20:10:49
Would you please send it today?,,그것을 오늘 보내 주시겠습니까?,,미암기,2012-06-16 20:10:49
Will you send it to the hotel with a receipt?,,그것을 영수증과 함께 호텔로 보내 줄 수 있습니까?,,미암기,2012-06-16 20:10:49
I can't afford to buy this.,,이것을 살만큼 돈을 갖고 있지 않습니다.,,미암기,2012-06-16 20:10:49
Could I have a gift box?,,포장 박스를 받을 수 있습니까?,,미암기,2012-06-16 20:10:49
Do you think this material is durable?,,이 재질이 내구성이 있다고 생각하십니까?,,미암기,2012-06-16 20:10:49
Can I buy it tax-free?,,면세로 구입할 수 있습니까?,,미암기,2012-06-16 20:10:49
I'll take this.,,이것으로 하겠습니다.,,미암기,2012-06-16 20:10:49
I would like to see a darker shade.,,더 어두운 것을 보고 싶습니다.,,미암기,2012-06-16 20:10:49
Do you have a cheaper on-e?,,더 싼 것 있습니까?,,미암기,2012-06-16 20:10:49
Do you have a bigger on-e?,,더 큰 것 있습니까?,,미암기,2012-06-16 20:10:49
Do you have on-e of better quality?,,더 나은 품질의 것이 있습니까?,,미암기,2012-06-16 20:10:49
Do you have this in another color?,,다른 색으로 된 것 있습니까?,,미암기,2012-06-16 20:10:49
Do you have on-e like this?,,이것과 같은 것을 갖고 있습니까?,,미암기,2012-06-16 20:10:49
Where can I buy it?,,어디서 그것을 살 수 있습니까?,,미암기,2012-06-16 19:52:47
What are some special products of this town?,,이 마을의 특산물에는 무엇이 있습니까?,,미암기,2012-06-16 19:52:47
I will come back later.,,나중에 다시 오겠습니다.,,미암기,2012-06-16 19:52:47
When does this store close?,,이 상점은 몇시에 닫습니까?,,미암기,2012-06-16 19:52:47
On which floor is the food department?,,몇 층에 식당가가 있습니까?,,미암기,2012-06-16 19:52:47
Where is the shopping area?,,쇼핑 지역은 어디에 있습니까?,,미암기,2012-06-16 19:52:47
"It's good, but it's a little expensive.",,"그것은 마음에 들지만, 조금 비쌉니다.",,미암기,2012-06-16 19:52:47
Is this expensive?,,이것은 비쌉니까?,,미암기,2012-06-16 19:52:47
I'm just looking around.,,그냥 둘러보고 있습니다.,,미암기,2012-06-16 19:52:47
When do you close?,,언제 닫습니까? / 언제 폐점합니까?,,미암기,2012-06-16 19:52:47
On ice.,,얼음 띄워서.,,미암기,2012-06-16 19:52:47
The next round is on me.,,다음은 제가 내겠습니다.,,미암기,2012-06-16 19:52:47
Let me buy you a drink.,,제가 한 잔 사게 해주십시오.,,미암기,2012-06-16 19:52:47
"Keep the change, please.",,잔돈은 가지십시오.,,미암기,2012-06-16 19:52:47
Does the bill include the service charge?,,계산서에 봉사료도 포함되어 있습니까?,,미암기,2012-06-16 19:52:47
"I would like to pay now, please.",,지금 계산하고 싶습니다.,,미암기,2012-06-16 19:52:47
How much is the total?,,전부 해서 얼마입니까?,,미암기,2012-06-16 19:52:47
Let me pay my share.,,제 몫은 제가 내게 해 주십시오.,,미암기,2012-06-16 19:52:47
Let's split the bill.,,나눠서 계산합시다.,,미암기,2012-06-16 19:52:47
I'll treat you to dinner this evening.,,오늘 저녁 식사는 제가 대접하겠습니다.,,미암기,2012-06-16 19:52:47
The bill is on me.,,제가 내겠습니다.,,미암기,2012-06-16 19:52:47
I believe the bill is added up wrong.,,계산이 잘못된 것 같습니다.,,미암기,2012-06-16 19:52:47
This is not clean enough.,,이것은 충분히 깨끗하지 않습니다.,,미암기,2012-06-16 19:52:47
This is not quite fresh.,,이것은 아주 신선한 것은 아닙니다.,,미암기,2012-06-16 19:52:47
It is tough.,,질깁니다.,,미암기,2012-06-16 19:52:47
How much is a glass?,,한 잔의 가격은 얼마입니까?,,미암기,2012-06-16 19:43:09
This is not cooked enough.,,이것은 요리가 충분히 되지 않았습니다.,,미암기,2012-06-16 19:41:12
It is too sweet.,,너무 답니다.,,미암기,2012-06-16 19:41:12
It is cold.,,식었습니다.,,미암기,2012-06-16 19:41:12
It was more than I could eat.,,제가 먹을 수 있는 것보다 많았습니다.,,미암기,2012-06-16 19:41:12
How do you eat this?,,이것을 어떻게 먹습니까?,,미암기,2012-06-16 19:41:12
My order hasn't come yet.,,주문한 요리가 아직 오지 않았습니다.,,미암기,2012-06-16 19:41:12
This is not my order.,,제가 한 주문이 아닙니다.,,미암기,2012-06-16 19:41:12
A green salad with French dressing.,,프렌치 드레싱한 야채 샐러드.,,미암기,2012-06-16 19:41:12
How does it taste?,,맛은 어떻습니까?,,미암기,2012-06-16 19:41:12
It was delicious.,,맛있었습니다.,,미암기,2012-06-16 19:41:12
"A little more, please.",,좀 더 주십시오.,,미암기,2012-06-16 19:41:12
Can I have it right away?,,지금 당장 그것을 받을 수 있습니까?,,미암기,2012-06-16 19:41:12
Would you please pass the salt?,,소금 좀 건네주시겠습니까?,,미암기,2012-06-16 19:41:12
May I smoke?,,담배 피워도 될까요?,,미암기,2012-06-16 19:41:12
"Bring me a triple-decker sandwich and milk, please.",,3단 샌드위치 한 개와 우유를 갖다 주시기 바랍니다.,,미암기,2012-06-16 19:41:12
"Two hamburgers to go, please.",,햄버거 두 개 포장해 주십시오.,,미암기,2012-06-16 19:41:12
I'd like to place an order.,,주문하고 싶습니다.,,미암기,2012-06-16 19:41:12
How about some dessert?,,후식 하시겠습니까?,,미암기,2012-06-16 19:41:12
May I have a glass of water?,,물 한 잔 주시겠습니까?,,미암기,2012-06-16 19:41:11
I would like a cup of coffee.,,커피 한 잔으로 하겠습니다,,미암기,2012-06-16 19:41:11
How much is whole bottle?,,한 병 전체의 가격은 얼마입니까?,,미암기,2012-06-16 19:41:11
I would like a bottle of white wine.,,백포도주 한 병 주십시오.,,미암기,2012-06-16 19:41:11
What kind of wine do you have?,,어떤 종류의 와인이 있습니까?,,미암기,2012-06-16 19:41:11
Please show me the wine list.,,와인 리스트를 보여 주십시오.,,미암기,2012-06-16 19:41:11
"Well-done, please.",,잘 익혀 주십시오.,,미암기,2012-06-16 16:48:00
I would like a continental breakfast.,,가벼운 아침 식사를 하고 싶습니다.,,미암기,2012-06-16 16:48:00
I'll have this.,,이것으로 하겠습니다.,,미암기,2012-06-16 16:48:00
I'll have the same thing.,,같은 것으로 하겠습니다.,,미암기,2012-06-16 16:48:00
May I take your order?,,주문 받아도 될까요?,,미암기,2012-06-16 16:48:00
What's the luncheon special today?,,오늘의 특별 점심은 무엇입니까?,,미암기,2012-06-16 16:48:00
What kind of soup are you serving today?,,오늘 어떤 종류의 수프를 제공합니까?,,미암기,2012-06-16 16:48:00
Is there an English menu?,,영어 매뉴판이 있습니까?,,미암기,2012-06-16 16:48:00
Do you serve vegetarian food?,,채식을 제공합니까?,,미암기,2012-06-16 16:48:00
"Menu, please.",,"메뉴, 부탁드립니다.",,미암기,2012-06-16 16:48:00
What's the specialty of the house?,,이 집의 특별 요리는 무엇입니까?,,미암기,2012-06-16 16:48:00
What do you recommend?,,무엇을 추천합니까?,,미암기,2012-06-16 16:48:00
I'll have whatever you recommend.,,당신이 추천해 주는 것을 먹겠습니다.,,미암기,2012-06-16 16:48:00
What drink would you like before dinner?,,저녁 식사 전에 무엇을 마시고 싶습니까?,,미암기,2012-06-16 16:48:00
I would like supper.,,저녁을 먹고 싶습니다.,,미암기,2012-06-16 16:48:00
We are a party of six.,,저희 일행은 6명 입니다.,,미암기,2012-06-16 16:48:00
"Hello, I would like a table for five.",,"여보세요, 5인용 테이블이 필요합니다.",,미암기,2012-06-16 16:48:00
Do you have a table by the window?,,창가 테이블이 있습니까?,,미암기,2012-06-16 16:48:00
I want to eat the best local food.,,이 지역 최고의 요리를 먹고 싶습니다.,,미암기,2012-06-16 16:48:00
Are there any good restaurants around here?,,여기 근처에 좋은 레스토랑이 있습니까?,,미암기,2012-06-16 16:48:00
Is there a Chinese restaurant near here?,,여기 가까이에 중국식 레스토랑이 있습니까?,,미암기,2012-06-16 16:48:00
I'd like to go to a Chinese restaurant.,,중국식 레스토랑에 가고 싶습니다.,,미암기,2012-06-16 16:48:00
Someplace not too expensive.,,너무 비싸지 않은 곳.,,미암기,2012-06-16 16:48:00
Do we have to make a reservation?,,예약을 해야 합니까?,,미암기,2012-06-16 16:48:00
Can you recommend a good place to eat?,,식사하기 좋은 곳을 추천해 주실 수 있습니까?,,미암기,2012-06-16 16:48:00
Can you make reservations for me?,,저를 위해서 예약해 주실 수 있습니까?,,미암기,2012-06-16 16:37:01
Is it possible to rent a garage?,,차고를 임대할 수 있습니까?,,미암기,2012-06-16 16:37:01
How much is the monthly rate?,,월세는 얼마입니까?,,미암기,2012-06-16 16:37:01
How much is the down payment?,,계약금은 얼마입니까?,,미암기,2012-06-16 16:37:01
I would prefer a furnished apartment.,,가구가 있는 아파트를 원합니다.,,미암기,2012-06-16 16:37:01
I'd like to rent a two-room apartment.,,방 두 개 짜리 아파트를 세 얻고 싶습니다.,,미암기,2012-06-16 16:37:01
I want to find an apartment for rent.,,임대용 아파트를 찾고 싶습니다.,,미암기,2012-06-16 16:37:01
Where is the emergency exit?,,비상출구는 어디에 있습니까?,,미암기,2012-06-16 16:37:01
Is there a beauty shop?,,미장원이 있습니까?,,미암기,2012-06-16 16:37:01
Do you have a garage?,,당신은 차고가 있습니까?,,미암기,2012-06-16 16:37:01
Is there a snack bar here?,,여기에 스낵바가 있습니까?,,미암기,2012-06-16 16:37:01
Where is the dining room?,,식당은 어디에 있습니까?,,미암기,2012-06-16 16:37:01
I've enjoyed my stay.,,즐겁게 보냈습니다.,,미암기,2012-06-16 16:37:01
I find it a little expensive.,,조금 비싼 것 같습니다.,,미암기,2012-06-16 16:37:01
When do I have to vacate the room?,,언제 방을 비워야 합니까?,,미암기,2012-06-16 16:37:01
I'm leaving tomorrow.,,내일 떠날 것입니다.,,미암기,2012-06-16 16:37:01
I'd like to extend my stay for a few days.,,며칠 더 머물고 싶습니다.,,미암기,2012-06-16 16:37:01
"I'm sorry, this isn't my signature.",,미안합니다. 이것은 제 사인이 아닙니다.,,미암기,2012-06-16 16:37:01
What's this bill for?,,무엇에 대한 계산서입니까?,,미암기,2012-06-16 16:37:01
Do you accept a credit card?,,신용카드를 받습니까?,,미암기,2012-06-16 16:37:01
May I have the bill?,,계산서를 주시겠습니까?,,미암기,2012-06-16 16:37:01
This room is too small. Don't you have a bigger on-e?,,이 방은 너무 작습니다. 더 큰 것은 없습니까?,,미암기,2012-06-16 16:37:01
This stain is blood.,,이 얼룩은 피입니다.,,미암기,2012-06-16 16:37:01
The stains have not been removed.,,얼룩이 제거되지 않았습니다.,,미암기,2012-06-16 16:37:01
There must be a mistake. These are not mine.,,잘못되었음에 틀림없습니다. 이것들은 제 것이 아닙니다.,,미암기,2012-06-16 16:37:01
I'm still waiting for the breakfast I ordered.,,주문한 아침을 아직 기다리고 있습니다.,,미암기,2012-06-16 16:24:38
I'd like to change my room.,,방을 바꾸고 싶습니다.,,미암기,2012-06-16 16:24:38
Drink lots of liquids.,,음료수를 충분히 드십시오.,,미암기,2012-06-16 16:24:38
Get lots of sleep.,,충분히 수면을 취하십시오.,,미암기,2012-06-16 16:24:38
We reach Seoul Station in half an hour.,,우리는 30분 후에 서울역에 도착합니다.,,미암기,2012-06-16 16:24:38
We leave home for school in a few minutes.,,우리는 잠시 후에 학교를 향해 집을 떠납니다.,,미암기,2012-06-16 16:24:38
Bill and I are of the same age.,,빌과 나는 동갑이다.,,미암기,2012-06-16 16:24:38
Three runs is not much in baseball.,,야구에서 3점은 큰 것이 아닙니다.,,미암기,2012-06-16 16:24:38
Ten dollars is not much.,,10달러는 큰 돈이 아닙니다.,,미암기,2012-06-16 16:24:38
Three years is not much.,,3년은 긴 세월이 아닙니다.,,미암기,2012-06-16 16:24:38
There's no hot running water.,,뜨거운 물은 나오지 않습니다.,,미암기,2012-06-16 16:24:38
The lock is broken.,,자물쇠가 고장났습니다.,,미암기,2012-06-16 16:24:38
There's no soap.,,비누가 없습니다.,,미암기,2012-06-16 16:24:38
The TV doesn't work.,,TV가 동작하지 않습니다.,,미암기,2012-06-16 16:24:38
I want to leave on-e day earlier.,,하루 일찍 떠나고 싶습니다.,,미암기,2012-06-16 16:24:38
Would you please forward my mail to my home address?,,저의 집 주소로 우편을 발송해 주실 수 있습니까?,,미암기,2012-06-16 16:24:38
How long does it take to go to the airport by taxi?,,택시로 공항까지 얼마나 걸립니까?,,미암기,2012-06-16 16:24:38
Would you please call a taxi?,,택시를 불러 주시겠습니까?,,미암기,2012-06-16 16:24:38
Would you please wake me at 7 o'clock?,,7시에 개워 주실 수 있습니까?,,미암기,2012-06-16 16:24:38
When will it be ready?,,언제 준비됩니까?,,미암기,2012-06-16 16:24:38
Please have this pressed.,,이것을 다려 주십시오.,,미암기,2012-06-16 16:24:38
Can you press these trousers while I wait?,,기다릴 동안 이 바지들을 다려 줄 수 있습니까?,,미암기,2012-06-16 16:24:38
Can you remove this stain?,,이 얼룩을 제거해 줄 수 있습니까?,,미암기,2012-06-16 16:24:38
Can you sew these buttons on?,,이 단추들을 꿰매주실 수 있습니까?,,미암기,2012-06-16 16:24:38
Would you please be careful with these blouses?,,이 블라우스를 조심히 다뤄 주시겠습니까?,,미암기,2012-06-16 16:24:38
Where do I sign?,,어느곳에 사인을 합니까?,,미암기,2012-06-16 16:14:02
Will you clean and press this suit?,,이 슈트를 세탁하고 다려 주실 수 있습니까?,,미암기,2012-06-16 16:12:57
Would you please send these clothes to the laundry?,,이 옷들을 세탁소로 보내 주실 수 있습니까?,,미암기,2012-06-16 16:12:57
Pleases be careful with it. It is pure silk.,,조심해 주십시오. 그것은 100% 실크입니다.,,미암기,2012-06-16 16:12:57
I would like to have this washed.,,이것을 세탁하고 싶습니다.,,미암기,2012-06-16 16:12:57
Is there a telephone message for me?,,나에게 남겨진 전화 메세지가 있습니까?,,미암기,2012-06-16 16:12:57
Can I walk or should I take a taxi?,,걸어 갈 수 있는 거리입니까? 아니면 택시를 타야 합니까?,,미암기,2012-06-16 16:12:57
I'd like to order breakfast for tomorrow.,,내일 아침 식사를 주문하고 싶습니다.,,미암기,2012-06-16 16:12:57
Can I have breakfast in my room?,,내 방에서 아침 식사할 수 있습니까?,,미암기,2012-06-16 16:12:57
At what time are meals served?,,몇 시에 식사가 제공됩니까?,,미암기,2012-06-16 16:12:57
Would you give me another blanket?,,담요를 하나 더 주실 수 있습니까?,,미암기,2012-06-16 16:12:57
Please bring me some hot water.,,뜨거운 물 좀 갖다 주십시오.,,미암기,2012-06-16 16:12:57
May I have my baggage back?,,제 짐을 돌려 받을 수 있습니까?,,미암기,2012-06-16 16:12:57
